city,createTime,companyFullName,district,positionName,salary
深圳,2017/9/27 11:58,冬竞投资有限公司深圳分公司,南山区,Python开发工程师,15k-30k
深圳,2017/9/27 20:01,深圳众禄金融控股股份有限公司,罗湖区,Python开发工程师,18k-25k
深圳,2017/9/27 15:53,福瑞博德软件开发（深圳）有限公司,南山区,Python开发工程师,15k-20k
深圳,2017/9/28 9:31,斯坦德机器人（深圳）有限公司,宝安区,python开发工程师,10k-16k
深圳,2017/9/27 10:17,深圳市乐易网络有限公司,南山区,Python,15k-30k
深圳,2017/9/27 9:43,深圳市五一五游戏网络有限公司,南山区,Python,20k-30k
深圳,2017/9/27 16:22,深圳触云科技有限公司,南山区,Python工程师,8k-15k
深圳,2017/9/27 11:44,深圳市阿西莫夫科技有限公司,南山区,Python开发-服务端开发,10k-20k
深圳,2017/9/27 9:06,广州赛意信息科技股份有限公司,龙华新区,python工程师,15k-25k
深圳,2017/9/27 10:13,上海航仕企业管理有限公司,南山区,Python开发,20k-35k
深圳,2017/9/27 9:11,深圳市南方网通网络技术开发有限公司,南山区,Python工程师,10k-20k
深圳,2017/9/27 17:52,深圳市出众网络有限公司,南山区,Python工程师,15k-25k
深圳,2017/9/27 9:47,上海奥飞游戏有限公司,南山区,Python开发工程师,10k-15k
深圳,2017/9/27 8:46,深圳市紫川软件有限公司,福田区,Python工程师,9k-15k
深圳,2017/9/28 9:10,飞马大宗投资有限公司,福田区,Python开发工程师,15k-20k
深圳,2017/9/27 11:58,冬竞投资有限公司深圳分公司,南山区,Python开发工程师（高级）,30k-50k
深圳,2017/9/26 8:50,深圳众禄金融控股股份有限公司,罗湖区,python工程师,18k-25k
深圳,2017/9/27 10:17,深圳市乐易网络有限公司,南山区,Python,15k-30k
深圳,2017/9/27 9:35,福瑞博德软件开发（深圳）有限公司,南山区,Python,16k-20k
深圳,2017/9/27 11:22,北京国双科技有限公司,福田区,高级Python开发工程师,12k-24k
深圳,2017/9/11 9:47,广东欧珀移动通信有限公司,南山区,Python工程师（运维平台）,15k-30k
深圳,2017/9/28 9:10,文思海辉技术有限公司,福田区,Python开发工程师,13k-25k
深圳,2017/9/27 12:04,深圳市青柏信息科技有限公司,南山区,Python研发工程师,10k-15k
深圳,2017/9/27 14:06,平安科技（深圳）有限公司,福田区,Python开发工程师（深圳）,15k-30k
深圳,2017/9/20 10:56,深圳花果山科技有限公司,南山区,Python,5k-8k
深圳,2017/9/27 10:16,深圳市和讯华谷信息技术有限公司,南山区,高级Python开发工程师,15k-25k
深圳,2017/9/27 10:04,中国都会控股集团有限公司,南山区,Python开发工程师,7k-10k
深圳,2017/9/27 11:09,心灵失重（北京）科技有限公司,南山区,Python,15k-30k
深圳,2017/9/27 9:11,深圳市南方网通网络技术开发有限公司,南山区,Python AI工程师,20k-25k
深圳,2017/9/26 9:34,深圳优克云联科技有限公司,南山区,python开发工程师,10k-15k
深圳,2017/9/25 11:16,深圳众禄金融控股股份有限公司,罗湖区,Python开发工程师,18k-25k
深圳,2017/9/27 10:17,深圳市乐易网络有限公司,南山区,python高级开发工程师,15k-30k
深圳,2017/9/25 16:20,福瑞博德软件开发（深圳）有限公司,南山区,Python工程师（外包-南山科技园）,10k-20k
深圳,2017/9/27 11:23,北京国双科技有限公司,福田区,资深python开发工程师,15k-30k
深圳,2017/9/26 20:20,深圳开黑科技有限公司,南山区,Python研发工程师,10k-20k
深圳,2017/9/27 14:26,深圳市易讯天空网络技术有限公司,龙岗区,Python开发工程师,10k-18k
深圳,2017/9/26 11:43,深圳市新华云帆科技有限公司,南山区,python开发工程师,12k-20k
